"region_ts","nregion","genero","factor","edad","ingreso","d31","d34","casos","razon_casos"
1,"Tarapacá","Hombre",2797.75634765625,33,2100000,2,2,822,0.140792158871573
1,"Tarapacá","Hombre",889.047180175781,61,2000000,1,1,822,0.140792158871573
1,"Tarapacá","Hombre",1003.62475585938,33,1300000,1,1,822,0.140792158871573
1,"Tarapacá","Mujer",1617.404296875,47,1100000,1,2,822,0.140792158871573
1,"Tarapacá","Mujer",1370.02111816406,69,1000000,1,1,822,0.140792158871573
1,"Tarapacá","Mujer",5514.35546875,39,1000000,1,1,822,0.140792158871573
1,"Tarapacá","Hombre",3972.60815429688,26,800000,1,1,822,0.140792158871573
1,"Tarapacá","Hombre",2207.83740234375,25,740000,1,1,822,0.140792158871573
1,"Tarapacá","Hombre",11103.974609375,56,700000,1,1,822,0.140792158871573
1,"Tarapacá","Hombre",1343.19555664062,58,700000,1,2,822,0.140792158871573
1,"Tarapacá","Mujer",12659.1552734375,69,700000,1,1,822,0.140792158871573
1,"Tarapacá","Mujer",2459.83618164062,21,700000,1,1,822,0.140792158871573
1,"Tarapacá","Mujer",6695.697265625,30,680000,1,1,822,0.140792158871573
1,"Tarapacá","Hombre",3955.6787109375,36,650000,1,1,822,0.140792158871573
1,"Tarapacá","Hombre",1818.48107910156,67,600000,1,1,822,0.140792158871573
1,"Tarapacá","Hombre",716.010681152344,28,500000,1,2,822,0.140792158871573
1,"Tarapacá","Hombre",1486.85388183594,28,500000,1,1,822,0.140792158871573
1,"Tarapacá","Hombre",4673.97998046875,65,401500,1,1,822,0.140792158871573
1,"Tarapacá","Hombre",2450.2578125,69,401500,1,1,822,0.140792158871573
1,"Tarapacá","Hombre",1775.19946289062,74,401500,1,1,822,0.140792158871573
1,"Tarapacá","Hombre",4318.01953125,65,401500,1,1,822,0.140792158871573
1,"Tarapacá","Hombre",1287.58483886719,75,401500,1,1,822,0.140792158871573
1,"Tarapacá","Hombre",777.192199707031,67,401500,1,1,822,0.140792158871573
1,"Tarapacá","Hombre",880.74560546875,80,401500,1,1,822,0.140792158871573
1,"Tarapacá","Hombre",3929.23193359375,45,401500,1,1,822,0.140792158871573
1,"Tarapacá","Hombre",1786.69995117188,56,401500,1,1,822,0.140792158871573
1,"Tarapacá","Hombre",2341.673828125,50,401500,1,1,822,0.140792158871573
1,"Tarapacá","Mujer",7791.23828125,79,401500,2,1,822,0.140792158871573
1,"Tarapacá","Mujer",12740.1552734375,20,401500,1,1,822,0.140792158871573
1,"Tarapacá","Mujer",6526.89453125,58,401500,1,1,822,0.140792158871573
1,"Tarapacá","Mujer",1475.61157226562,56,401500,1,1,822,0.140792158871573
1,"Tarapacá","Mujer",7233.1083984375,70,401500,1,1,822,0.140792158871573
1,"Tarapacá","Mujer",698.0849609375,30,401500,1,1,822,0.140792158871573
1,"Tarapacá","Mujer",551.753723144531,37,401500,1,1,822,0.140792158871573
1,"Tarapacá","Mujer",3328.52563476562,42,401500,2,1,822,0.140792158871573
1,"Tarapacá","Mujer",2912.04150390625,33,401500,1,1,822,0.140792158871573
1,"Tarapacá","Mujer",1669.04211425781,44,401500,2,1,822,0.140792158871573
1,"Tarapacá","Hombre",1184.08093261719,29,350000,1,1,822,0.140792158871573
1,"Tarapacá","Mujer",529.520141601562,51,350000,1,2,822,0.140792158871573
1,"Tarapacá","Mujer",1126.30102539062,28,323000,1,1,822,0.140792158871573
1,"Tarapacá","Mujer",1584.57824707031,28,320000,1,1,822,0.140792158871573
