"folio","region","a2","f4","edad","d31","d34","factor","sexo","ingreso"
"17-57-17-81","1",2,680000,30,1,1,6695.697265625,"Mujer",680000
"03-27-95-16","1",2,323000,28,1,1,1126.30102539062,"Mujer",323000
"96-40-41-33","1",2,NA,79,2,1,7791.23828125,"Mujer",401500
"79-10-63-74","1",2,700000,69,1,1,12659.1552734375,"Mujer",700000
"23-37-13-69","1",2,700000,21,1,1,2459.83618164062,"Mujer",700000
"10-64-58-84","1",2,280000,63,1,1,1298.48120117188,"Mujer",280000
"81-60-70-03","1",2,1000000,69,1,1,1370.02111816406,"Mujer",1000000
"34-65-64-47","1",2,NA,20,1,1,12740.1552734375,"Mujer",401500
"48-89-39-82","1",2,NA,58,1,1,6526.89453125,"Mujer",401500
"51-56-69-10","1",2,1100000,47,1,2,1617.404296875,"Mujer",1100000
"88-69-44-15","1",2,NA,56,1,1,1475.61157226562,"Mujer",401500
"62-04-27-21","1",2,320000,28,1,1,1584.57824707031,"Mujer",320000
"36-78-34-64","1",2,350000,51,1,2,529.520141601562,"Mujer",350000
"21-52-66-34","1",2,NA,70,1,1,7233.1083984375,"Mujer",401500
"13-54-73-45","1",2,NA,30,1,1,698.0849609375,"Mujer",401500
"77-44-77-47","1",2,1000000,39,1,1,5514.35546875,"Mujer",1000000
"16-21-19-48","1",2,220000,58,1,1,744.933410644531,"Mujer",220000
"93-59-62-12","1",2,280000,48,1,1,961.760009765625,"Mujer",280000
"47-40-38-22","1",2,NA,37,1,1,551.753723144531,"Mujer",401500
"17-33-81-11","1",2,NA,42,2,1,3328.52563476562,"Mujer",401500
"83-79-39-57","1",2,NA,33,1,1,2912.04150390625,"Mujer",401500
"41-54-18-16","1",2,NA,44,2,1,1669.04211425781,"Mujer",401500
"80-20-56-99","1",2,250000,39,1,2,6362.68017578125,"Mujer",250000
"50-62-61-12","2",2,NA,48,1,2,3947.21240234375,"Mujer",401500
"35-41-06-18","2",2,350000,32,1,1,7962.4013671875,"Mujer",350000
"87-63-47-79","2",2,NA,59,1,2,4001.70947265625,"Mujer",401500
"36-68-79-76","2",2,200000,50,1,1,6807.8076171875,"Mujer",200000
"79-85-95-29","2",2,NA,76,1,1,3183.453125,"Mujer",401500
"88-15-99-10","2",2,NA,27,1,1,27782.92578125,"Mujer",401500
"62-42-70-15","2",2,200000,35,1,1,4950.40576171875,"Mujer",200000
"83-60-82-78","2",2,500000,33,1,1,1371.89978027344,"Mujer",500000
"24-43-92-06","2",2,330000,32,1,1,3042.06372070312,"Mujer",330000
"72-68-68-73","2",2,-888,70,1,1,6380.11181640625,"Mujer",401500
"86-06-67-70","2",2,NA,51,1,1,6106.06787109375,"Mujer",401500
"30-99-86-21","2",2,NA,73,1,1,1305.54248046875,"Mujer",401500
"92-06-87-33","2",2,NA,46,1,1,5910.29638671875,"Mujer",401500
"83-53-34-32","2",2,NA,32,1,1,9490.0947265625,"Mujer",401500
"72-86-96-85","2",2,NA,47,1,1,3302.93041992188,"Mujer",401500
"23-49-29-18","2",2,550000,29,1,2,2792.2451171875,"Mujer",550000
"24-07-03-42","2",2,NA,57,1,1,2633.21850585938,"Mujer",401500
"03-66-38-44","2",2,200000,42,1,2,541.941040039062,"Mujer",200000
"01-03-05-05","2",2,200000,50,1,2,554.214477539062,"Mujer",200000
"42-00-56-27","2",2,NA,18,1,1,3500.00634765625,"Mujer",401500
"04-72-77-95","2",2,450000,40,1,1,2224.12573242188,"Mujer",450000
"75-18-53-29","3",2,600000,31,1,1,3778.1103515625,"Mujer",600000
"72-28-85-23","3",2,NA,41,1,2,5534.56982421875,"Mujer",401500
"15-68-44-93","3",2,NA,70,1,1,5863.04541015625,"Mujer",401500
"15-15-70-73","3",2,550000,28,1,1,12695.234375,"Mujer",550000
"30-66-82-09","3",2,NA,65,1,1,10423.2744140625,"Mujer",401500
"99-70-53-88","3",2,760000,25,1,1,7392.1259765625,"Mujer",760000
"98-44-37-97","3",2,1300000,35,1,1,3694.11791992188,"Mujer",1300000
"61-11-67-25","3",2,-999,31,1,2,15100.7177734375,"Mujer",401500
"87-06-93-89","3",2,400000,58,1,1,3247.0224609375,"Mujer",400000
"36-74-95-43","3",2,300000,60,1,1,14347.4619140625,"Mujer",300000
"51-00-20-94","4",2,NA,48,1,1,11676.93359375,"Mujer",401500
"37-54-97-99","4",2,300000,46,1,1,3151.54321289062,"Mujer",300000
"05-23-40-02","4",2,NA,49,1,1,8726.314453125,"Mujer",401500
"55-00-53-60","4",2,NA,68,1,1,2573.86938476562,"Mujer",401500
"94-92-37-78","4",2,500000,38,1,2,1267.33557128906,"Mujer",500000
"08-51-21-95","4",2,700000,48,1,1,2236.41015625,"Mujer",700000
"96-24-32-91","4",2,310000,55,1,1,9189.1943359375,"Mujer",310000
"13-36-25-27","4",2,NA,67,1,1,6664.49365234375,"Mujer",401500
"78-92-08-58","4",2,1200000,33,1,1,8165.9443359375,"Mujer",1200000
"27-48-10-96","4",2,NA,65,1,1,7004.0029296875,"Mujer",401500
"52-57-00-28","4",2,280000,21,1,2,4150.23046875,"Mujer",280000
"54-46-43-07","4",2,260000,36,1,2,1306.53588867188,"Mujer",260000
"45-99-42-31","4",2,250000,56,1,1,4138.2470703125,"Mujer",250000
"92-33-59-75","4",2,NA,20,1,1,6634.18994140625,"Mujer",401500
"26-39-07-17","4",2,NA,66,1,1,16553.669921875,"Mujer",401500
"84-63-22-54","4",2,NA,22,1,1,6026.03857421875,"Mujer",401500
"58-94-98-47","4",2,NA,39,1,1,3666.85913085938,"Mujer",401500
"33-16-77-07","4",2,NA,67,1,1,4013.65893554688,"Mujer",401500
"18-10-48-16","4",2,NA,29,1,1,6650.6474609375,"Mujer",401500
"92-10-13-03","4",2,NA,40,1,1,4275.4345703125,"Mujer",401500
"36-46-64-35","4",2,390000,40,1,3,3467.38305664062,"Mujer",390000
"81-03-34-37","4",2,NA,64,1,1,3880.017578125,"Mujer",401500
"73-74-50-25","4",2,NA,39,1,1,2634.34545898438,"Mujer",401500
"69-80-97-14","4",2,250000,23,1,1,18487.984375,"Mujer",250000
"52-58-83-27","4",2,327000,46,1,2,5236.82666015625,"Mujer",327000
"12-64-38-43","4",2,NA,41,1,1,4739.1318359375,"Mujer",401500
"52-66-32-79","4",2,NA,60,1,1,14536.75390625,"Mujer",401500
"96-65-55-73","4",2,NA,71,1,1,4148.44482421875,"Mujer",401500
"53-73-98-27","4",2,470000,32,1,1,4927.06884765625,"Mujer",470000
"59-72-39-55","4",2,350000,56,1,1,3383.32543945312,"Mujer",350000
"53-42-42-70","4",2,NA,65,1,1,12306.2021484375,"Mujer",401500
"20-97-11-74","4",2,NA,67,1,1,5494.1142578125,"Mujer",401500
"47-89-09-11","4",2,NA,70,1,1,4236.00634765625,"Mujer",401500
"27-02-17-62","4",2,NA,72,1,1,5708.31103515625,"Mujer",401500
"79-28-16-20","5",2,NA,44,1,1,11553.0419921875,"Mujer",401500
"29-10-06-81","5",2,NA,32,1,1,2136.6591796875,"Mujer",401500
"89-45-70-82","5",2,350000,35,1,1,1553.52062988281,"Mujer",350000
"67-96-81-04","5",2,400000,77,1,1,30790.154296875,"Mujer",400000
"86-86-03-90","5",2,NA,68,1,1,14838.5244140625,"Mujer",401500
"65-16-80-77","5",2,20000,45,1,1,19763.931640625,"Mujer",20000
"85-19-82-63","5",2,NA,68,1,1,3633.10595703125,"Mujer",401500
"90-54-56-36","5",2,160000,30,1,1,11106.52734375,"Mujer",160000
"84-93-49-08","5",2,NA,73,1,1,4092.8349609375,"Mujer",401500
"71-92-39-40","5",2,250000,57,1,1,4809.177734375,"Mujer",250000
"64-13-72-06","5",2,NA,70,2,1,18130.1328125,"Mujer",401500
"45-35-47-00","5",2,NA,36,1,1,7557.94140625,"Mujer",401500
"72-87-83-35","5",2,160000,24,1,1,15259.470703125,"Mujer",160000
"38-40-28-61","5",2,NA,19,1,2,12442.5732421875,"Mujer",401500
"55-31-19-03","5",2,300000,50,1,2,4813.2216796875,"Mujer",300000
"01-87-74-35","5",2,340000,56,1,1,4172.26904296875,"Mujer",340000
"89-72-07-95","5",2,NA,65,1,1,3743.8798828125,"Mujer",401500
"42-90-32-14","5",2,250000,36,1,1,15976.5498046875,"Mujer",250000
"36-47-36-39","5",2,NA,48,1,1,12481.216796875,"Mujer",401500
"14-48-32-76","5",2,40000,78,2,1,13140.7919921875,"Mujer",40000
"53-46-41-80","5",2,1300000,50,1,1,9977.130859375,"Mujer",1300000
"13-58-51-06","5",2,950000,43,1,1,11494.2021484375,"Mujer",950000
"87-11-69-65","5",2,400000,46,1,2,9496.41015625,"Mujer",400000
"92-18-85-27","5",2,NA,40,1,1,8113.2578125,"Mujer",401500
"36-15-10-33","5",2,1500000,38,1,1,9904.4189453125,"Mujer",1500000
"83-40-35-57","5",2,NA,63,1,1,4403.3349609375,"Mujer",401500
"87-26-56-83","5",2,338000,51,1,1,9217.2802734375,"Mujer",338000
"22-15-86-56","5",2,NA,73,1,1,17248.142578125,"Mujer",401500
"46-59-03-83","5",2,NA,80,1,1,9376.5849609375,"Mujer",401500
"45-31-66-09","5",2,0,75,1,1,3517.28076171875,"Mujer",0
"68-07-64-92","5",2,350000,37,1,1,10773.1318359375,"Mujer",350000
"23-59-07-98","5",2,NA,77,1,1,3704.11987304688,"Mujer",401500
"04-70-05-66","5",2,180000,75,1,1,7275.06640625,"Mujer",180000
"06-75-89-55","5",2,60000,59,1,1,9233.287109375,"Mujer",60000
"57-00-69-50","5",2,NA,49,1,1,12369.345703125,"Mujer",401500
"36-25-27-76","5",2,NA,68,1,1,4266.34326171875,"Mujer",401500
"57-36-45-69","5",2,NA,62,1,1,14753.2568359375,"Mujer",401500
"85-29-83-65","5",2,NA,40,1,1,10518.2724609375,"Mujer",401500
"02-41-48-77","5",2,1500000,44,1,1,7740.029296875,"Mujer",1500000
"59-65-08-97","5",2,900000,36,1,1,4123.6123046875,"Mujer",900000
"16-94-35-64","5",2,320000,45,1,1,7567.47509765625,"Mujer",320000
"60-10-92-64","5",2,395000,35,1,1,9494.3994140625,"Mujer",395000
"02-83-87-90","5",2,-888,67,1,1,14924.3125,"Mujer",401500
