sexo,estado_civil,grupo_depend,x_nem,leng,mate,cien,beca,edad,jefe_familia,nem,educpadre,educmadre
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",50,353,499,461,0,18,Padre de postulante,5,5,13
Masculino,Soltero,Particular Subvencionado (Dependencia 3),58,611,656,608,0,19,Padre de postulante,5.8000002,7,7
Femenino,Soltero,Particular Subvencionado (Dependencia 3),59,685,569,626,0,19,Padre de postulante,5.9000001,3,3
Femenino,Soltero,Particular Subvencionado (Dependencia 3),50,413,391,347,0,18,Padre de postulante,5,5,2
Masculino,Soltero,Particular Pagado (Dependencia 4),57,622,644,579,0,19,Padre de postulante,5.6999998,14,14
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",60,506,448,448,0,19,Padre de postulante,6,2,3
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",59,725,715,649,0,18,Padre de postulante,5.9000001,13,14
Femenino,Soltero,Particular Pagado (Dependencia 4),63,647,613,602,0,19,Padre de postulante,6.3000002,7,14
Femenino,Soltero,Particular Subvencionado (Dependencia 3),54,548,524,483,0,19,Padre de postulante,5.4000001,5,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),52,460,584,448,0,20,Madre del postulante,5.1999998,12,11
Femenino,Soltero,Particular Subvencionado (Dependencia 3),54,552,634,542,0,19,Madre del postulante,5.4000001,14,14
Masculino,Soltero,Particular Subvencionado (Dependencia 3),51,506,372,431,0,19,Padre de postulante,5.0999999,5,5
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",58,389,469,371,0,19,Madre del postulante,5.8000002,4,4
Femenino,Soltero,Particular Subvencionado (Dependencia 3),59,563,485,514,0,19,Padre de postulante,5.9000001,5,13
Femenino,Soltero,Particular Subvencionado (Dependencia 3),65,568,609,583,1,19,Padre de postulante,6.5,13,14
Masculino,Soltero,Particular Subvencionado (Dependencia 3),58,488,644,548,0,19,Padre de postulante,5.8000002,5,5
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",54,389,301,431,0,19,Padre de postulante,5.4000001,3,7
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",54,322,436,371,0,19,Padre de postulante,5.4000001,3,3
Femenino,Soltero,Particular Subvencionado (Dependencia 3),58,622,529,520,0,19,Padre de postulante,5.8000002,14,11
Masculino,Soltero,Particular Subvencionado (Dependencia 3),60,622,630,557,0,19,Madre del postulante,6,14,14
Masculino,Soltero,Particular Pagado (Dependencia 4),60,670,620,642,0,19,Madre del postulante,6,4,14
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",64,611,609,614,1,18,Padre de postulante,6.4000001,4,5
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",54,420,469,461,0,19,Cónyuge del postulante,5.4000001,13,13
Femenino,Soltero,Particular Subvencionado (Dependencia 3),64,622,624,614,1,18,Padre de postulante,6.4000001,13,12
Masculino,Soltero,Particular Pagado (Dependencia 4),69,704,729,850,0,19,Madre del postulante,6.9000001,5,11
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",60,628,624,499,0,18,Padre de postulante,6,14,14
Femenino,Soltero,Particular Subvencionado (Dependencia 3),51,465,529,392,0,19,Padre de postulante,5.0999999,4,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),60,563,499,431,0,18,Madre del postulante,6,5,5
Masculino,Soltero,Particular Subvencionado (Dependencia 3),57,616,620,623,0,19,Padre de postulante,5.6999998,4,5
Femenino,Soltero,Particular Pagado (Dependencia 4),64,780,685,596,0,19,Padre de postulante,6.4000001,14,14
Femenino,Soltero,Particular Subvencionado (Dependencia 3),62,472,518,448,1,19,Padre de postulante,6.1999998,5,5
Masculino,Soltero,Particular Pagado (Dependencia 4),52,605,609,611,0,19,Padre de postulante,5.1999998,14,7
Femenino,Soltero,Particular Subvencionado (Dependencia 3),59,568,624,492,0,19,Padre de postulante,5.9000001,5,5
Femenino,Soltero,Particular Pagado (Dependencia 4),65,694,708,713,0,19,Padre de postulante,6.5,14,14
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",54,373,197,507,0,20,Madre del postulante,5.4000001,5,7
Masculino,Soltero,Particular Subvencionado (Dependencia 3),53,448,408,392,0,19,Padre de postulante,5.3000002,3,5
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",50,506,524,514,0,19,Padre de postulante,5,5,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),58,594,644,572,0,19,Madre del postulante,5.8000002,4,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),61,589,722,642,0,19,Abuelo(a),6.0999999,5,11
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",56,568,634,634,0,19,Padre de postulante,5.5999999,5,5
Femenino,Soltero,Particular Pagado (Dependencia 4),64,635,729,723,0,19,Padre de postulante,6.4000001,14,14
Femenino,Soltero,Particular Pagado (Dependencia 4),57,527,561,492,0,19,Padre de postulante,5.6999998,14,14
Femenino,Soltero,Particular Pagado (Dependencia 4),54,647,640,575,0,19,Madre del postulante,5.4000001,14,14
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",54,353,327,392,0,18,Padre de postulante,5.4000001,3,3
Masculino,Soltero,Particular Subvencionado (Dependencia 3),56,333,391,392,0,19,Abuelo(a),5.5999999,2,2
Femenino,Soltero,Particular Subvencionado (Dependencia 3),54,420,477,347,0,19,Abuelo(a),5.4000001,2,3
Femenino,Soltero,Particular Subvencionado (Dependencia 3),55,563,569,492,0,19,Madre del postulante,5.5,14,14
Masculino,Soltero,Particular Subvencionado (Dependencia 3),60,537,656,527,0,19,Padre de postulante,6,5,5
Masculino,Soltero,Particular Subvencionado (Dependencia 3),57,448,524,514,0,18,Padre de postulante,5.6999998,5,5
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",51,531,548,461,0,18,Madre del postulante,5.0999999,14,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),54,373,459,392,0,18,Madre del postulante,5.4000001,5,5
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",59,333,469,492,0,19,Padre de postulante,5.9000001,5,2
Masculino,Soltero,Particular Subvencionado (Dependencia 3),58,594,651,579,0,19,Padre de postulante,5.8000002,14,14
Femenino,Soltero,Particular Pagado (Dependencia 4),61,579,603,514,0,19,,6.0999999,7,14
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",53,501,485,514,0,19,Madre del postulante,5.3000002,2,6
Femenino,Soltero,Particular Subvencionado (Dependencia 3),54,433,301,431,0,19,Padre de postulante,5.4000001,2,2
Femenino,Soltero,Particular Subvencionado (Dependencia 3),54,397,422,347,0,19,Padre de postulante,5.4000001,4,5
Masculino,Soltero,Particular Subvencionado (Dependencia 3),62,440,613,542,1,19,Padre de postulante,6.1999998,4,5
Masculino,Soltero,Particular Subvencionado (Dependencia 3),56,333,422,461,0,19,Padre de postulante,5.5999999,5,5
Masculino,Soltero,Particular Pagado (Dependencia 4),56,628,617,575,0,19,Padre de postulante,5.5999999,14,14
Masculino,Soltero,Particular Pagado (Dependencia 4),55,641,630,507,0,19,Padre de postulante,5.5,14,14
Femenino,Soltero,Particular Subvencionado (Dependencia 3),59,488,477,507,0,19,Madre del postulante,5.9000001,5,5
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",65,516,624,499,1,19,Padre de postulante,6.5,5,5
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",53,600,535,548,0,19,Madre del postulante,5.3000002,5,5
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",56,310,391,319,0,18,Padre de postulante,5.5999999,3,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),60,453,391,448,0,19,Madre del postulante,6,5,3
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",65,494,659,568,1,19,Padre de postulante,6.5,4,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),60,605,620,568,0,18,Padre de postulante,6,5,7
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",54,465,391,492,0,19,Madre del postulante,5.4000001,2,3
Femenino,Soltero,Particular Subvencionado (Dependencia 3),48,472,535,431,0,19,Padre de postulante,4.8000002,5,5
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",59,594,543,499,0,19,Padre de postulante,5.9000001,4,5
Femenino,Soltero,Particular Pagado (Dependencia 4),59,573,552,596,0,19,Padre de postulante,5.9000001,14,7
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",53,343,391,392,0,19,Padre de postulante,5.3000002,3,5
Masculino,Soltero,Particular Subvencionado (Dependencia 3),50,389,477,289,0,19,Padre de postulante,5,2,4
Masculino,Soltero,Particular Pagado (Dependencia 4),50,568,617,548,0,19,Padre de postulante,5,14,5
Femenino,Soltero,Particular Pagado (Dependencia 4),67,736,738,762,0,19,Padre de postulante,6.6999998,14,5
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",57,382,436,414,0,19,Padre de postulante,5.6999998,2,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),59,594,561,583,0,18,Padre de postulante,5.9000001,3,3
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",61,427,477,473,0,18,Padre de postulante,6.0999999,4,2
Femenino,Soltero,Particular Subvencionado (Dependencia 3),56,506,617,499,0,19,Padre de postulante,5.5999999,12,11
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",58,427,524,431,0,19,Padre de postulante,5.8000002,2,2
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",52,397,436,431,0,19,Madre del postulante,5.1999998,5,5
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",53,322,372,347,0,19,Padre de postulante,5.3000002,2,2
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",55,552,529,414,0,19,Padre de postulante,5.5,4,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),58,510,506,527,0,19,Madre del postulante,5.8000002,5,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),61,628,609,631,0,19,Madre del postulante,6.0999999,3,3
Femenino,Soltero,Particular Subvencionado (Dependencia 3),58,594,592,673,0,18,Padre de postulante,5.8000002,14,13
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",62,552,656,548,0,19,Padre de postulante,6.1999998,5,3
Masculino,Soltero,Particular Pagado (Dependencia 4),59,670,600,619,0,19,Padre de postulante,5.9000001,14,14
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",54,516,561,448,0,19,Padre de postulante,5.4000001,5,4
Femenino,Soltero,Particular Subvencionado (Dependencia 3),63,594,627,590,1,18,Madre del postulante,6.3000002,4,5
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",56,501,459,448,0,18,Abuelo(a),5.5999999,5,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),57,460,630,527,0,19,Madre del postulante,5.6999998,5,5
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",54,568,552,538,0,19,Padre de postulante,5.4000001,4,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),53,583,552,473,0,19,Padre de postulante,5.3000002,4,4
Femenino,Soltero,Particular Pagado (Dependencia 4),53,501,485,492,0,20,Madre del postulante,5.3000002,11,13
Masculino,Soltero,Particular Subvencionado (Dependencia 3),53,460,637,619,0,19,Padre de postulante,5.3000002,14,14
Femenino,Soltero,Particular Subvencionado (Dependencia 3),59,483,548,561,0,19,Padre de postulante,5.9000001,13,5
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",59,389,499,461,0,18,Padre de postulante,5.9000001,5,5
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",59,420,518,431,0,18,Padre de postulante,5.9000001,5,4
Masculino,Soltero,Particular Pagado (Dependencia 4),68,806,834,787,0,19,Padre de postulante,6.8000002,14,14
Femenino,Soltero,Particular Subvencionado (Dependencia 3),60,494,499,431,0,18,Padre de postulante,6,11,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),51,501,506,483,0,18,Padre de postulante,5.0999999,13,5
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",56,477,351,371,0,18,Padre de postulante,5.5999999,5,5
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",56,363,436,253,0,19,Abuelo(a),5.5999999,5,5
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",60,527,448,392,0,18,Padre de postulante,6,3,3
Femenino,Soltero,Particular Subvencionado (Dependencia 3),52,389,448,319,0,19,Madre del postulante,5.1999998,6,6
